"iata","icao","latitude","longitude","name","wikipedia_url","outdegree","outdegree_cargo","number_airlines","number_airlines_cargo"
"","","48.979722","-123.078889","","https://en.wikipedia.org/wiki/Point_Roberts_Airpark","1","0","1","0"
"","","41.688625","-82.808139","","https://en.wikipedia.org/wiki/Middle_Bass_Island_Airport","0","0","0","0"
"","","41.636667","-82.828333","","https://en.wikipedia.org/wiki/Put-in-Bay_Airport","5","0","1","0"
"","","41.717778","-82.821111","","https://en.wikipedia.org/wiki/North_Bass_Island_Airport","0","0","0","0"
"","","45.721111","-85.520278","","https://en.wikipedia.org/wiki/Welke_Airport","2","0","1","0"
"","","41.603200","-82.685000","","https://en.wikipedia.org/wiki/Kelleys_Island_Land_Field","0","0","0","0"
"","","","","","","0","0","0","0"
"","","57.052222","-135.346111","","https://en.wikipedia.org/wiki/Sitka_Seaplane_Base","1","0","1","0"
"AAD","HCAD","6.095833","46.637500","","https://en.wikipedia.org/wiki/Adado_Airport","1","0","1","0"
"AAE","DABB","36.829167","7.813889","","https://en.wikipedia.org/wiki/Rabah_Bitat_Airport","9","0","5","0"
"AAK","NGUK","0.185278","173.636389","","https://en.wikipedia.org/wiki/Aranuka_Airport","2","0","1","0"
"AAL","EKYT","57.092778","9.849167","","https://en.wikipedia.org/wiki/Aalborg_Airport","19","0","10","0"
"AAN","OMAL","24.261667","55.609167","","https://en.wikipedia.org/wiki/Al_Ain_International_Airport","6","0","6","0"
"AAP","WALS","-0.373611","117.255556","","https://en.wikipedia.org/wiki/Aji_Pangeran_Tumenggung_Pranoto_International_Airport","9","0","6","0"
"AAQ","URKA","45.002083","37.347306","","https://en.wikipedia.org/wiki/Vityazevo_Airport","24","0","13","0"
"AAR","EKAH","56.304167","10.619167","","https://en.wikipedia.org/wiki/Aarhus_Airport","20","0","7","0"
"AAT","ZWAT","47.750361","88.084444","","https://en.wikipedia.org/wiki/Altay_Airport","20","0","9","0"
"AAX","SBAX","-19.563056","-46.960556","","https://en.wikipedia.org/wiki/Araxá_Airport","1","0","1","0"
"AAY","OYGD","16.193361","52.174194","","https://en.wikipedia.org/wiki/Al_Ghaydah_Airport","2","0","1","0"
"ABA","UNAA","53.743333","91.385833","","https://en.wikipedia.org/wiki/Abakan_Airport","11","5","6","2"
"ABB","DNAS","6.204167","6.665278","","https://en.wikipedia.org/wiki/Asaba_International_Airport","3","0","6","0"
"ABD","OIAA","30.365278","48.233056","","https://en.wikipedia.org/wiki/Abadan_Ayatollah_Jami_International_Airport","5","0","18","0"
"ABE","KABE","40.652333","-75.440472","","https://en.wikipedia.org/wiki/Lehigh_Valley_International_Airport","14","0","5","0"
"ABF","NGAB","1.796389","173.040278","","https://en.wikipedia.org/wiki/Abaiang_Airport","2","0","1","0"
"ABI","KABI","32.413250","-99.683111","","https://en.wikipedia.org/wiki/Abilene_Regional_Airport","4","1","2","1"
"ABJ","DIAP","5.261417","-3.925778","","https://en.wikipedia.org/wiki/Port_Bouet_Airport","41","5","22","3"
"ABL","PAFM","67.106639","-157.857111","","https://en.wikipedia.org/wiki/Ambler_Airport","3","0","1","0"
"ABM","YNPE","-10.950833","142.459444","","https://en.wikipedia.org/wiki/Northern_Peninsula_Airport","2","0","1","0"
"ABQ","KABQ","35.039333","-106.610778","","https://en.wikipedia.org/wiki/Albuquerque_International_Sunport","30","0","11","0"
"ABR","KABR","45.448333","-98.422778","","https://en.wikipedia.org/wiki/Aberdeen_Regional_Airport","1","1","1","2"
"ABS","HEBL","22.375917","31.611639","","https://en.wikipedia.org/wiki/Abu_Simbel_Airport","2","0","2","0"
"ABT","OEBA","20.296111","41.634167","","https://en.wikipedia.org/wiki/Al-Baha_Domestic_Airport","3","0","3","0"
