"origin","nb_outlinks","outlinks","weights","nb_airlines"
"3T7","0","","","0"
"3W2","0","","","0"
"3X5","0","","","0"
"6Y8","0","","","0"
"89D","0","","","0"
"<MagicMock name='fetch_wikipedia_airport_info().get()' id='139831627737680'>.1","0","","","0"
"A29","0","","","0"
"AAD","0","","","0"
"AAE","0","","","0"
"AAK","0","","","0"
"AAL","0","","","0"
"AAN","0","","","0"
"AAP","0","","","0"
"AAQ","0","","","0"
"AAR","0","","","0"
"AAT","0","","","0"
"AAX","0","","","0"
"AAY","0","","","0"
"ABA","5","CAN CEK DME PVG TSN","1 1 1 1 2","2"
"ABB","0","","","0"
"ABD","0","","","0"
"ABE","0","","","0"
"ABF","0","","","0"
"ABI","1","LBB","1","1"
"ABJ","5","ACC ADD LBV LGG LOS","2 1 1 1 1","3"
"ABL","0","","","0"
"ABM","0","","","0"
"ABQ","0","","","0"
"ABR","1","FSD","2","2"
"ABS","0","","","0"
"ABT","0","","","0"
"ABU","0","","","0"
"ABV","0","","","0"
"ABX","0","","","0"
"ABY","8","ATL JAX MCO MSY PBI PHL PNS SDF","1 1 1 1 1 1 1 1","1"
"ABZ","1","EMA","1","1"
"ACA","0","","","0"
"ACC","0","","","0"
"ACD","0","","","0"
"ACE","0","","","0"
"ACF","0","","","0"
"ACH","0","","","0"
"ACI","0","","","0"
"ACJ","0","","","0"
"ACK","1","PVD","1","1"
"ACR","0","","","0"
"ACT","0","","","0"
"ACU","0","","","0"
"ACV","1","SMF","1","1"
"ACX","0","","","0"
"ACY","0","","","0"
"ACZ","0","","","0"
"ADB","0","","","0"
"ADD","45","ACC AMD BEY BJM BLR BOG BOM BRU BZV CAI CAN CGK CKG CMN CPH DAC DEL DWC DXB ENU FIH GRU HAN HKG HYD IST JED JIB JNB KGL LGG LHR LOS LUX MAA MIA MST MXP NKG NLU PNR SCL TNR URC ZAZ","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1","4"
"ADE","0","","","0"
"ADF","0","","","0"
"ADJ","0","","","0"
"ADK","0","","","0"
"ADL","4","CBR MEL PER SYD","1 2 2 2","2"
"ADQ","0","","","0"
"ADU","0","","","0"
"ADZ","0","","","0"
"AEA","0","","","0"
"AEB","0","","","0"
"AEP","0","","","0"
"AER","0","","","0"
"AES","0","","","0"
"AET","0","","","0"
"AEU","0","","","0"
"AEX","0","","","0"
"AEY","0","","","0"
"AFA","0","","","0"
"AFE","0","","","0"
"AFL","0","","","0"
"AFZ","0","","","0"
"AGA","0","","","0"
"AGD","0","","","0"
"AGE","0","","","0"
"AGH","0","","","0"
"AGM","0","","","0"
"AGN","0","","","0"
"AGP","0","","","0"
"AGR","0","","","0"
"AGS","0","","","0"
"AGU","0","","","0"
"AGV","0","","","0"
"AGX","0","","","0"
"AHA","0","","","0"
"AHB","0","","","0"
