"origin","nb_outlinks","outlinks","weights","nb_airlines"
"3T7","4","3W2 3X5 89D CYPT","1 1 1 1","1"
"3W2","4","3T7 3X5 89D CYPT","1 1 1 1","1"
"3X5","4","3T7 3W2 89D CYPT","1 1 1 1","1"
"6Y8","2","KCVX MCD","1 1","1"
"89D","5","3T7 3W2 3X5 CYPT KPCW","1 1 1 1 1","1"
"<MagicMock name='fetch_wikipedia_airport_info().get()' id='139831627737680'>.1","0","","","0"
"A29","1","PTD","1","1"
"AAD","1","MGQ","1","1"
"AAE","9","ALG CDG ELU HME IST LYS MRS ORN ORY","2 2 1 1 1 1 3 1 1","5"
"AAK","1","TRW","1","1"
"AAL","19","AGP ALC AMS AYT CPH FAE FNC GOH GZP LGW LPA NAP NCE OSL PMI RNN SCR TFS VRN","1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 1 1 2 1","10"
"AAN","6","CAI CCJ ISB JED KHT KWI","1 1 1 1 1 1","6"
"AAP","9","BDJ BEJ CGK DTD GHS LPU RTU SUB YIA","1 1 3 1 1 1 1 2 1","6"
"AAQ","24","AER CSY DME EVN GOJ HMA IWA KGD LED LPK NJC OSS OVB OVS PES SCW SGC SVO SVX TJM UFA VKO VOZ ZIA","1 1 2 1 2 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1","13"
"AAR","20","AGP ALC AYT CFU CHQ CPH FNC GDN HRG KTW MJT OSL PFO PMI PVK RIX SCR STN ZAD ZTH","2 1 1 1 2 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1","7"
"AAT","20","ACF AKU BPL CAN CKG HMI KHG KRY LHW PEK PKX PVG QSZ SHF TCG TFU TLQ URC XIY YIN","1 2 1 1 1 1 2 1 1 2 1 1 1 1 1 2 1 2 1 2","9"
"AAX","1","CNF","1","1"
"AAY","2","ADE SCT","1 1","1"
"ABA","11","AER DME HTA IKT KCY KJA LED NSK OVB SVO SVX","1 1 1 1 1 1 1 1 1 1 1","6"
"ABB","3","ABV KAN LOS","6 1 4","6"
"ABD","5","IFN KIH MHD SYZ THR","2 2 14 2 13","18"
"ABE","14","ATL BNA CLT DEN FLL MCO MLB MYR ORD PGD PIE RSW SFB SRQ","1 1 1 1 1 1 1 1 2 1 1 1 1 1","4"
"ABF","2","MZK TRW","1 1","1"
"ABI","4","DEN DFW IAH PHX","1 1 1 1","2"
"ABJ","41","ABV ACC ADD ALG BEY BKO BOY BRU BYK BZV CAI CDG CKY CMN COO DLA DOH DSS DXB FIH HGO IST JFK JNB KEO LBV LFW LOS MJC NBJ NBO NIM NKC NSI ORY OUA OXB PNR ROB SPY TUN","1 6 1 1 2 3 1 1 1 1 1 2 2 2 3 1 1 2 1 1 1 1 1 1 1 1 2 3 1 1 1 2 1 1 1 5 1 1 1 1 1","22"
"ABL","3","OBU OTZ SHG","1 1 1","1"
"ABM","2","CNS HID","1 1","1"
"ABQ","31","ATL AUS AXX BNA BUR BWI CNM DAL DEN DFW HOU IAD IAH JFK LAS LAX LRU MCI MCO MDW MSP OAK ORD PDX PHX SAN SAT SEA SFO SLC SVC","1 1 1 1 1 1 1 1 3 2 1 1 2 1 1 3 1 1 1 1 1 1 4 1 3 1 1 2 2 1 1","11"
"ABR","1","MSP","1","1"
"ABS","2","ASW CAI","2 2","2"
"ABT","3","DMM JED RUH","3 1 2","3"
"ABU","1","KOE","1","1"
"ABV","15","ACC ADD CAI CDG CMN DLA DOH DXB EBB IBA IST LFW LGW LHR NIM","1 1 1 1 1 1 1 1 1 1 1 1 1 1 1","12"
"ABX","2","BNE SYD","1 2","2"
"ABY","1","ATL","1","1"
