"origin","nb_outlinks","outlinks"
"AAD","1","MGQ"
"AAE","9","ALG CDG ELU HME IST LYS MRS ORN ORY"
"AAL","19","AGP ALC AMS AYT CPH FAE FNC GOH GZP LGW LPA NAP NCE OSL PMI RNN SCR TFS VRN"
"AAN","6","CAI CCJ ISB JED KHT KWI"
"AAP","8","BDJ BEJ CGK DTD LPU RTU SUB YIA"
"AAQ","24","AER CSY DME EVN GOJ HMA IWA KGD LED LPK NJC OSS OVB OVS PES SCW SGC SVO SVX TJM UFA VKO VOZ ZIA"
"AAR","18","AGP ALC AYT CFU CHQ CPH FNC GDN HRG MJT OSL PFO PMI PVK RIX STN ZAD ZTH"
"AAT","17","ACF AKU BPL CAN CKG HMI KHG KRY LHW PEK PKX PVG QSZ TFU URC XIY YIN"
"AAX","1","CNF"
"AAY","2","ADE SCT"
"ABA","11","AER DME HTA IKT KCY KJA LED NSK OVB SVO SVX"
"ABB","3","ABV KAN LOS"
"ABD","5","IFN KIH MHD SYZ THR"
"ABE","9","ATL CLT DEN FLL MCO MLB MYR ORD SFB"
"ABF","2","MZK TRW"
"ABI","4","DEN DFW IAH PHX"
"ABJ","40","ABV ADD ALG BEY BKO BOY BRU BYK BZV CAI CDG CKY CMN COO DLA DOH DSS DXB FIH HGO IST JFK JNB KEO LBV LFW LOS MJC NBJ NBO NIM NKC NSI ORY OUA OXB PNR ROB SPY TUN"
"ABL","3","OBU OTZ SHG"
"ABM","2","CNS HID"
"ABQ","31","ATL AUS AXX BNA BUR BWI CNM DAL DEN DFW HOU IAD IAH JFK LAS LAX LRU MCI MCO MDW MSP OAK ORD PDX PHX SAN SAT SEA SFO SLC SVC"
"ABR","1","MSP"
"ABS","2","ASW CAI"
"ABT","3","DMM JED RUH"
"ABU","1","KOE"
"ABV","14","ADD CAI CDG CMN DLA DOH DXB EBB IBA IST LFW LGW LHR NIM"
"ABX","2","BNE SYD"
"ABY","1","ATL"
"ABZ","27","AGP ALC AMS BGO BHD BHX BRS CDG CFU CPH DLM DUB EBJ FAO GDN GVA KRK LGW LHR LSI LTN NWI REU RIX SVG TFS WIC"
"ACA","10","CUN DFW GDL IAH MEX MTY NLU QRO TIJ YUL"
"ACD","1","EOH"
"ACE","76","AGP ALC AMS BCN BER BES BFS BGO BGY BHX BIO BOD BOH BRS BRU BTS BVA CDG CGN CPH CWL DUB DUS EDI EIN EMA EXT FRA GLA GLN GOT HAJ HAM HEL KTW LBA LEJ LGW LIL LPA LPL LTN LUX LYS MAD MAN MRS MUC MXP NCE NCL NRN NTE OPO ORK ORY OSL OVD PMI PRG RTM SCQ SEN SNN SPC STN STR SVQ SXB TFN TLS VGO VIE VLC WAW ZRH"
"ACF","16","AAT AKU BPL CGO CSX HGH HTN KHG KRL LHW SHF TFU TLQ TWC URC YIN"
"ACH","6","BWK CAG EBA IBZ VIE ZAD"
