"origin","nb_outlinks","outlinks"
"ACA","0",""
"ACV","0",""
"AGU","0",""
"AMS","0",""
"ARN","0",""
"ASE","0",""
"ATL","0",""
"ATW","0",""
"AUS","0",""
"AVL","0",""
"BCN","0",""
"BDL","0",""
"BFS","0",""
"BHM","0",""
"BHX","0",""
"BIH","0",""
"BIL","0",""
"BIS","0",""
"BJX","0",""
"BNA","0",""
"BOG","0",""
"BOI","0",""
"BOS","0",""
"BSB","0",""
"BTM","0",""
"BTV","0",""
"BUF","0",""
"BWI","0",""
"BZE","0",""
"BZN","0",""
"CCS","0",""
"CDG","0",""
"CDR","0",""
"CEZ","0",""
"CHA","0",""
"CHS","0",""
"CID","0",""
"CJS","0",""
"CLE","0",""
"CLT","0",""
"CMH","0",""
"CMW","0",""
"CNY","0",""
"COS","0",""
"COU","0",""
"CPR","0",""
"CUL","0",""
"CUN","0",""
"CUU","0",""
"CVG","0",""
"CWL","0",""
"CYS","0",""
"CZM","0",""
"DAY","0",""
"DDC","0",""
"DEN","0",""
"DFW","0",""
"DIK","0",""
"DRO","0",""
"DSM","0",""
"DTW","0",""
"DUB","0",""
"DVL","0",""
"EGE","0",""
"ELP","0",""
"EWR","0",""
"EZE","0",""
"FCO","0",""
"FLL","0",""
"FMN","0",""
"FRA","0",""
"GDL","0",""
"GSW","0",""
"GUA","0",""
"HAV","0",""
"HMO","0",""
"HNL","0",""
"HOU","0",""
"HRL","0",""
"HUX","0",""
"IAD","0",""
"IAH","0",""
"IND","0",""
"IST","0",""
"JFK","0",""
"KEF","0",""
"KTW","0",""
"LAS","0",""
"LAX","0",""
"LEX","0",""
"LGW","0",""
"LHR","0",""
"LIM","0",""
"LIR","0",""
"LIS","0",""
"LIT","0",""
"LNK","0",""
"MAD","0",""
"MAN","0",""
"MBJ","0",""
"MCI","0",""
"MCO","0",""
"MDE","0",""
"MDW","0",""
"MEM","0",""
"MEX","0",""
"MIA","0",""
"MKE","0",""
"MLM","0",""
"MSN","0",""
"MSP","0",""
"MSY","0",""
"MTY","0",""
"MXL","0",""
"MXP","0",""
"MZT","0",""
"NCL","0",""
"NLU","0",""
"OAX","0",""
"OKC","0",""
"ORD","0",""
"ORF","0",""
"ORY","0",""
"OSL","0",""
"PBC","0",""
"PDX","0",""
"PHL","0",""
"PHX","0",""
"PIT","0",""
"PSP","0",""
"PTY","0",""
"PUJ","0",""
"PVD","0",""
"PVR","0",""
"QRO","0",""
"RDU","0",""
"REX","0",""
"RIW","0",""
"SAL","0",""
"SAT","0",""
"SCL","0",""
"SDQ","0",""
"SEA","0",""
"SFO","0",""
"SJD","0",""
"SJO","0",""
"SLC","0",""
"SLP","0",""
"SLW","0",""
"STL","0",""
"STS","0",""
"TAM","0",""
"TGZ","0",""
"TIJ","0",""
"TLC","0",""
"TPA","0",""
"TRC","0",""
"TUL","0",""
"TVC","0",""
"VER","0",""
"VPS","0",""
"VRN","0",""
"VSA","0",""
"WAW","0",""
"XLB","0",""
"YCR","0",""
"YDF","0",""
"YEG","0",""
"YFC","0",""
"YFO","0",""
"YGO","0",""
"YGX","0",""
"YHM","0",""
"YHU","0",""
"YHZ","0",""
"YIV","0",""
"YKF","0",""
"YLW","0",""
"YNE","0",""
"YNO","0",""
"YOH","0",""
"YOW","0",""
"YPM","0",""
"YQB","0",""
"YQD","0",""
"YQG","0",""
"YQM","0",""
"YQR","0",""
"YQT","0",""
"YRL","0",""
"YRS","0",""
"YRT","0",""
"YSK","0",""
"YST","0",""
"YTH","0",""
"YUL","0",""
"YVR","0",""
"YVZ","0",""
"YWG","0",""
"YXE","0",""
"YXL","0",""
"YYC","0",""
"YYG","0",""
"YYJ","0",""
"YYQ","0",""
"YYT","0",""
"YYZ","0",""
"ZAC","0",""
"ZGI","0",""
"ZPB","0",""
"ZRH","0",""
"ZSJ","0",""
"ZTM","0",""
