iata,url
YWG,https://en.wikipedia.org/wiki/Winnipeg_James_Armstrong_Richardson_International_Airport
HUX,https://en.wikipedia.org/wiki/Bah%C3%ADas_de_Huatulco_International_Airport
YYC,https://en.wikipedia.org/wiki/Calgary_International_Airport
CUN,https://en.wikipedia.org/wiki/Canc%C3%BAn_International_Airport
YYQ,https://en.wikipedia.org/wiki/Churchill_Airport
YCR,https://en.wikipedia.org/wiki/Cross_Lake_(Charlie_Sinclair_Memorial)_Airport
YVZ,https://en.wikipedia.org/wiki/Deer_Lake_Airport
DEN,https://en.wikipedia.org/wiki/Denver_International_Airport
YEG,https://en.wikipedia.org/wiki/Edmonton_International_Airport
YFO,https://en.wikipedia.org/wiki/Flin_Flon_Airport
FLL,https://en.wikipedia.org/wiki/Fort_Lauderdale%E2%80%93Hollywood_International_Airport
YGX,https://en.wikipedia.org/wiki/Gillam_Airport
YGO,https://en.wikipedia.org/wiki/Gods_Lake_Narrows_Airport
ZGI,https://en.wikipedia.org/wiki/Gods_River_Airport
YHZ,https://en.wikipedia.org/wiki/Halifax_Stanfield_International_Airport
LAS,https://en.wikipedia.org/wiki/Harry_Reid_International_Airport
ATL,https://en.wikipedia.org/wiki/Hartsfield%E2%80%93Jackson_Atlanta_International_Airport
YIV,https://en.wikipedia.org/wiki/Island_Lake_Airport
YLW,https://en.wikipedia.org/wiki/Kelowna_International_Airport
XLB,https://en.wikipedia.org/wiki/Lac_Brochet_Airport
PVR,https://en.wikipedia.org/wiki/Licenciado_Gustavo_D%C3%ADaz_Ordaz_International_Airport
LAX,https://en.wikipedia.org/wiki/Los_Angeles_International_Airport
SJD,https://en.wikipedia.org/wiki/Los_Cabos_International_Airport
None,https://en.wikipedia.org/wiki/Minneapolis-Saint_Paul_International_Airport
None,https://en.wikipedia.org/wiki/Montr%C3%A9al%E2%80%93Pierre_Elliott_Trudeau_International_Airport
BNA,https://en.wikipedia.org/wiki/Nashville_International_Airport
YNO,https://en.wikipedia.org/wiki/North_Spirit_Lake_Airport
